cast,number_of_title,vote_average
50 Cent,3,6.400000000000001
A Martinez,1,5.5
AJ Bowen,2,5.85
Aamir Khan,1,6.6
Aaron Abrams,1,6.5
Aaron Ashmore,3,6.833333333333333
Aaron Burns,2,4.1
Aaron Douglas,1,7.4
Aaron Eckhart,4,6.475
Aaron Jeffery,2,5.699999999999999
Aaron Kwok,1,6.7
Aaron O'Connell,1,4.9
Aaron Paul,7,5.457142857142857
Aaron Ringhiser-Carlson,1,6.2
Aaron Staton,1,4.9
Aaron Swartz,1,5.8
Aaron Taylor-Johnson,5,5.62
Aaron Tveit,1,5.6
Aaron Wolff,1,7.1
Aaron Yoo,2,6.300000000000001
Aarti Mann,2,6.6
Aasif Mandvi,2,6.85
Abbie Cornish,5,6.9399999999999995
Abbie Salt,1,7.4
Abby Elliott,1,5.3
Abhishek Bachchan,1,7.1
Abigail Breslin,6,6.150000000000001
Abigail Chu,1,6.5
Abigail Hardingham,1,7.1
Abigail Spencer,1,5.5
Able Wanamakok,1,6.3
Abraham Attah,1,3.6
Adam Aalderks,1,3.9
Adam Beach,1,6.2
Adam Brody,2,6.85
Adam Brooks,2,3.85
Adam Bucci,1,6.6
Adam Butcher,2,4.25
Adam Coutts,1,7.6
Adam David Thompson,1,6.8
Adam Deacon,1,7.1
Adam DiMarco,1,6.4
Adam Driver,5,6.1
Adam Fristoe,1,6.7
Adam G. Sevani,1,6.8
Adam Gibbs,1,5.2
Adam Goldberg,1,5.7
Adam Green,1,7.2
Adam Gregory,1,7.6
Adam Grimes,1,7.3
Adam James,1,5.1
Adam Johnson,3,6.166666666666667
Adam Kaufman,1,7.1
Adam Pally,3,5.1000000000000005
Adam Rayner,1,7.4
Adam RodrÃ­guez,2,5.3
Adam Sandler,8,5.374999999999999
Adam Savage,1,6.8
Adam Scott,7,6.514285714285714
Adam Thomas Wright,1,5.6
Adam Tomei,1,4.5
Adamo Ruggiero,1,4.8
Adar Beck,1,5.8
Addison Timlin,1,5.2
Addy Miller,1,6.5
Adeel Akhtar,1,5.3
Adelaide Clemens,1,7.2
Adelaide Kane,2,5.9
Adetokumboh M'Cormack,1,4.2
Adewale Akinnuoye-Agbaje,1,5.6
Adi Rukun,1,5.7
Adina Stetcu,1,7.2
Aditi Rao Hydari,1,7.4
Adrian G. Griffiths,1,6.4
Adrian Grenier,1,5.8
Adrian Holmes,3,5.8999999999999995
Adrian Pasdar,1,6.4
Adrian Paul,3,5.933333333333334
Adrian Petriw,1,7.0
Adrian Rawlins,2,5.6
Adrian Smith,1,6.0
Adrian Webster,1,6.0
Adriana Barraza,3,6.866666666666667
Adrianne Palicki,2,5.85
Adrien Brody,10,6.12
Adrien Dorval,1,6.7
Adrien Jolivet,1,7.4
Adrienne Barbeau,1,5.6
Adrienne Pickering,1,7.5
Adrienne Shaw,1,5.2
Affion Crockett,1,7.6
Agyness Deyn,1,6.5
Ahmed Best,1,6.3
Ahmir-Khalib Thompson,1,4.7
Ahn Sung-Ki,1,4.3
Aidan Devine,1,6.0
Aidan Gillen,4,5.6
Aidan Quinn,1,7.1
Aidan Turner,1,6.8
Aiden Flowers,1,8.8
Aimee Mullins,1,2.9
Aisling Franciosi,1,7.0
Aja Evans,1,6.8
Aki Aleong,1,6.1
Akihiro Kitamura,1,6.4
Akiko MonÃ´,1,6.7
Akin Gazi,1,6.2
Akina Minami,1,3.9
Akira Koieyama,1,5.7
Akon,1,4.5
Aksel Hennie,2,5.4
Akshay Kumar,2,6.0
Al Pacino,4,5.5
Al Sapienza,1,5.7
Al Thompson,1,6.6
Alain Prost,1,6.3
