director,number_of_title,vote_average
 FrÃ©dÃ©ric Jardin,1,5.9
A. Todd Smith,1,5.4
A.R. Murugadoss,1,6.9
Aaron Aites,1,6.5
Aaron Blaise|Robert Walker,1,6.8
Aaron Hann|Mario Miscione,1,6.1
Aaron Harvey,1,4.9
Aaron Katz|Martha Stephens,1,5.8
Aaron Keeling|Austin Keeling,1,3.8
Aaron Moorhead|Justin Benson,1,6.5
Aaron Norris,5,5.12
Aaron Schneider,1,5.9
Aaron Seltzer|Jason Friedberg,1,3.9
Aaron Woodley,1,5.5
Abbas Alibhai Burmawalla|Mastan Alibhai Burmawalla,2,5.6
Abbas Kiarostami,2,6.45
Abbas Tyrewala,1,6.4
Abe Levy|Silver Tree,1,5.2
Abe Sylvia,1,6.2
Abel Ferrara,8,5.4
Abel Ferry,1,5.5
Adam Brooks,1,6.5
Adam Brooks|Matthew Kennedy,1,6.0
Adam Curtis,3,7.900000000000001
Adam Deacon|Daniel Toland,1,7.3
Adam Egypt Mortimer,1,3.9
Adam Elliot,2,7.15
Adam Fields,1,5.1
Adam Gierasch,3,4.233333333333333
Adam Green,4,5.3999999999999995
Adam Green|Joe Lynch|Adam Rifkin|Tim Sullivan,1,5.9
Adam Grossman,1,4.0
Adam Jay Epstein|Andrew Jacobson,1,3.4
Adam Kassen|Mark Kassen,1,6.6
Adam MacDonald,1,5.8
Adam Marcus,1,3.9
Adam Mason,1,3.9
Adam Massey,1,4.9
Adam McKay,7,6.3571428571428585
Adam Neutzsky-Wulff,1,4.4
Adam Rehmeier,1,4.8
Adam Rifkin,2,6.1
Adam Robitel,1,5.9
Adam Rogers,1,6.0
Adam Salky,1,5.7
Adam Schindler,1,5.8
Adam Shankman,8,5.9624999999999995
Adam Wingard,3,5.966666666666666
Adamo P. Cultraro,1,5.1
Adolfo Alix Jr.,1,5.8
Adrian Edmondson,1,5.6
Adrian Grunberg,1,6.1
Adrian Lyne,8,6.1875
Adrian Maben,1,7.4
Adrian Moat,1,5.5
Adrian Shergold,1,6.5
Adrian Vitoria,2,5.9
Adrienne Shelly,1,6.7
AdriÃ  GarcÃ­a|VÃ­ctor Maldonado,1,5.1
AdriÃ¡n Cardona|David MuÃ±oz,1,7.5
AdriÃ¡n GarcÃ­a Bogliano,1,5.6
Afonso Poyart,1,6.2
Agnieszka Holland,6,6.416666666666667
Agnieszka Wojtowicz-Vosloo,1,5.2
AgnÃ¨s Jaoui,2,6.050000000000001
AgnÃ¨s Merlet,2,6.05
AgustÃ­n DÃ­az Yanes,1,5.7
Aimee Lagos,1,5.3
Aisling Walsh,1,7.8
Ajmal Zaheer Ahmad 	,1,3.6
Aki KaurismÃ¤ki,1,6.3
Akiva Goldsman,1,5.9
Akiva Schaffer,2,5.699999999999999
Al Pacino,1,7.0
Al Reinert,1,8.2
Alain BerbÃ©rian,2,6.8
Alain Chabat,1,5.6
Alain Resnais,1,6.9
Alan Ball,1,5.3
Alan Brown,2,5.35
Alan Clarke,2,6.449999999999999
Alan Cohn,1,5.1
Alan Cumming|Jennifer Jason Leigh,1,5.6
Alan Gibson,1,4.8
Alan Grint,1,7.2
Alan J. Levi,1,4.6
Alan J. Pakula,7,6.5
Alan J.W. Bell,1,6.5
Alan Johnson,1,7.2
Alan Metter,6,5.8500000000000005
Alan Myerson,2,5.449999999999999
Alan Parker,12,6.658333333333334
Alan Polsky|Gabe Polsky,1,4.9
Alan Poul,1,5.7
Alan Rafkin,1,6.1
